kcet,college
97.4036543,"Dr. D.Y. Patil College of Pharmacy , Akurdi, Pune"
95.6664783,"Bombay College of Pharmacy, Santacruz(E), Mumbai"
91.8968251,"Shri Vile Parle Kelavani Mandal's Dr. Bhanuben Nanavati College of Pharmacy, Mumbai"
88.7967503,"Dr. D.Y. Patil College of Pharmacy , Akurdi, Pune"
88.2791392,"Mumbai Educational  Trust's Institute of Pharmacy, Mumbai"
87.1890752,"Dr. D.Y. Patil Unitech Society's Dr. D.Y. Patil Institute of Pharmaceutical Science & Research, Pimpri, Pune"
86.0278839,"Bharati Vidyapeeth College of Pharmacy, Belapur, Navi Mumbai"
85.5919957,"NDMVP Samaj's College of Pharmacy, Nashik"
85.4099096,"Vivekanand Education Society's College of Pharmacy, Chembur, Mumbai"
85.1550773,"Progressive Education Society's Modern College of Pharmacy, Nigdi, Pune"
84.8760127,"Maharashtra Education Society's H.K. College of Pharmacy, Jogeshwari, Mumbai"
84.6954963,"Dr. D.Y. Patil Unitech Society's Dr. D.Y. Patil Institute of Pharmaceutical Science & Research, Pimpri, Pune"
83.6618437,"All India Shri Shivaji Memorial Society's College of Pharmacy, Pune"
83.3655123,"R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur"
82.6817574,"Chanakya Education. Soceity's, Indira College of Pharmacy, Tathawade, Pune"
82.4732806,"Sinhgad College of Pharmacy, Vadgaon, Pune"
81.6564439,"Oriental College of Pharmacy , Navi Mumbai"
81.2288948,"NCRD's Sterling Institute of Pharmacy, Navi Mumbai"
79.5611293,"Sharda Bhavan Education Society's Nanded Pharmacy College, Nanded"
78.6320095,"S.Patil Shikshan Sanstha's Smt. Kishoritai Bhoyar College of Pharmacy,Kamptee"
77.4248061,"Vidya Bharati College of Pharmacy, Amravati"
76.9335857,"Progressive Education Society's Modern College of Pharmacy, Nigdi, Pune"
76.6855228,"Poona District Education  Association's  Seth Govind Raghunath Sable College of Pharmacy , Saswad, Pune"
75.7813711,"Mahatma Gandhi Vidya Mandir's Pharmacy College, Panchavati, Nashik"
75.6366637,"Dr. L. H. Hiranandani College of Pharmacy ,Ulhasnagar"
75.5064270,"Saraswathi Vidya Bhavan's College of Pharmacy, Dombivali"
75.2503193,"Chanakya Education. Soceity's, Indira College of Pharmacy, Tathawade, Pune"
74.9637986,"Bharati Vidyapeeth's College of Pharmacy, Kolhapur"
74.8305206,"Alard Charitable Trust's Alard College of Pharmacy, Marunje, Hinjewadi, Pune"
74.5705378,"Gahlot Institute of Pharmacy, Koparkhairane, Navi Mumbai"
74.2817115,"Maulana Azad Education Trust's Y.B.Chavan College of Pharmacy, Aurangabad"
73.4482948,"MET's, Institute of Pharmacy,Bhujbal Knowledge City, Metleague Colleges, Adgaon, Nashik"
73.4482948,"Jayawantrao Sawant College of Pharmacy & Research, Hadapsar, Pune"
73.3072173,"Abhinav Education Society,  College of Pharmacy, Haveli, Pune"
73.1709961,"Rajarshi Shahu College of Pharmacy & Research, Tathawade, Pune"
72.8753515,"D.S.T.S.Mandal's College of Pharmacy, Solapur"
72.4473608,"Institute of Pharmaceutical Education and Research, Borgaon (Meghe), Wardha"
72.3098152,"Sinhgad Institute of Pharmacy, Narhe(Ambegaon), Pune"
72.1433771,"Marathwada Mitra Mandal's College of Pharmacy,Thergaon(Kalewadi) ,Pune"
71.4006601,"MET's, Institute of Pharmacy,Bhujbal Knowledge City, Metleague Colleges, Adgaon, Nashik"
71.4006601,"Sinhgad Technical Education Society, Smt. Kashibai Navale College of Pharmacy, Kondhwa,(Bk.), Pune"
71.4006601,"Viva Institute of Pharmacy, Virar(E)"
71.1035438,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
70.9566290,"Adarsh Shikshan Mandal's Ideal College of Pharmacy & Research, Ambernath"
70.8048579,"Aldel Education Trust's St. John Institute of Pharmacy and Research, Vevoor, Palghar"
70.6340540,"Dadasaheb Balpande College of Pharmacy, Nagpur"
69.5468842,"SVPM'S College of Pharmacy, Malegaon(BK) Baramati,  Pune"
69.3893248,"Progressive Education Society's Modern College of Pharmacy( for Women), Moshi.(Tal.Haveli)"
68.8979082,"Oyster Institute of Pharmacy, Aurangabad"
68.7387790,"Sinhgad Technical Education Society's Sinhgad Institute of Pharmaceutical Sciences , Lonavala"
68.7387790,"P R Pote Patil College of Pharmacy, Amravati"
68.5786688,"Lokmanya Tilak Institute of Pharmaceutical Sciences, Pune"
68.4155664,"Poona District Education  Association, Shankarrao Ursal College of Pharmaceutical Sciences & Research Centre, Kharadi, Tal: Haveli"
67.9140448,"Guru Nanak College of Pharmacy, Nagpur"
67.7583003,"H. R. Patel Institute of Phamaceutical Educatiion & Research ,Shirpur, Dhule"
67.7583003,"Lokmanya Tilak Institute of Pharmacy, Kharghar, Navi Mumbai"
67.2354405,"Lokmanya Tilak Jankalyan Shikshan Sanstha's  Priyadarshini J. L. college of pharmacy, Nagpur"
67.2354405,"Shri Appasaheb Birnale College of Pharmacy, Sangli"
67.0693458,"The Shirpur Education Society's R.C.Patel Institute Of Pharmacy, Shirpur"
66.3733275,"Siddhant College of Pharmacy, Sudumbre"
66.0389307,"Mahatma Gandhi Vidya Mandir's Pharmacy College,Panchavati,Nashik"
65.6574427,"Adarsha Shikshan Prasarak Mandal's K.T. Patil College of Pharmacy,Osmanabad"
65.3114693,"Shri. Vitthal Edu. & Research's College of Pharmacy, Gopalpur,Pandharpur"
65.1351224,"G.H. Raisoni Institute of Life Sciences, Nagpur"
64.7393598,"Yash Institute of Pharmacy, Aurangabad"
64.5586963,"Shri.Jain Vidyaparasark Mandal's Rasiklal M. Dhariwal Institute of Pharmceutical Education & Research, Pune."
64.5586963,"Kasturi Shikshan Sansthas College of Pharmacy, Shikrapur"
